conversation_num,message,timestamp,organization,speaker_id
01HP1YAGDJ5BYYPNWKPEG7MJCC,2 people get 40 and 1 gets 41,76.842,Organization A,01HP1Y44PWETRAEAH28ZWMVR4S
01HP1YAGDJ5BYYPNWKPEG7MJCC,"That sounds fair to mean, one person gets an extra point, but we all benefit.",96.684,Organization B,01HP1Y2GGWDSNJ7M11PQ151BNQ
01HP1YAGDJ5BYYPNWKPEG7MJCC,"fair to me, even.",103.681,Organization B,01HP1Y2GGWDSNJ7M11PQ151BNQ
01HP1YAGDJ5BYYPNWKPEG7MJCC,lets give 41 to c,112.836,Organization A,01HP1Y44PWETRAEAH28ZWMVR4S
01HP1YAGDJ5BYYPNWKPEG7MJCC,Agreed.,116.681,Organization B,01HP1Y2GGWDSNJ7M11PQ151BNQ
01HP1YAGDJ5BYYPNWKPEG7MJCC,ok,119.721,Organization C,01HP1Y1B6F37JW0WRHZHVR0J56
01HP1YAGDJ5BYYPNWKPEG7MJCC,So A and B 40 and C 41?,140.713,Organization C,01HP1Y1B6F37JW0WRHZHVR0J56
01HP1YAGDJ5BYYPNWKPEG7MJCC,It was a pleasure working with you all.,142.673,Organization B,01HP1Y2GGWDSNJ7M11PQ151BNQ
01HP1YAGDJ5BYYPNWKPEG7MJCC,Yes.,144.68,Organization B,01HP1Y2GGWDSNJ7M11PQ151BNQ
01HP1YAGDJ5BYYPNWKPEG7MJCC,yes,144.846,Organization A,01HP1Y44PWETRAEAH28ZWMVR4S
01HP1YAGDJ5BYYPNWKPEG7MJCC,Great.  Do we submit now?,159.722,Organization C,01HP1Y1B6F37JW0WRHZHVR0J56
01HP1Y5Q4G5E4Q90871HF94NW5,Hello!,6.857,Organization C,01HP1XZ38YXR8CFE6N5CXPT0AM
01HP1Y5Q4G5E4Q90871HF94NW5,hi,8.876,Organization A,01HP1XZW42YSR4RYDP9DH525MC
01HP1Y5Q4G5E4Q90871HF94NW5,hello,12.909,Organization B,01HP1XZSSB5GMC46S75JD8M01D
01HP1Y5Q4G5E4Q90871HF94NW5,I think we should all agree to a deal together.,20.839,Organization C,01HP1XZ38YXR8CFE6N5CXPT0AM
01HP1Y5Q4G5E4Q90871HF94NW5,yes,24.893,Organization A,01HP1XZW42YSR4RYDP9DH525MC
01HP1Y5Q4G5E4Q90871HF94NW5,what do you think B?,54.876,Organization A,01HP1XZW42YSR4RYDP9DH525MC
01HP1Y5Q4G5E4Q90871HF94NW5,What kind of deal are you thinking?,55.912,Organization B,01HP1XZSSB5GMC46S75JD8M01D
01HP1Y5Q4G5E4Q90871HF94NW5,Do we all agree to join in?,56.837,Organization C,01HP1XZ38YXR8CFE6N5CXPT0AM
01HP1Y5Q4G5E4Q90871HF94NW5,evenly split,61.893,Organization A,01HP1XZW42YSR4RYDP9DH525MC
01HP1Y5Q4G5E4Q90871HF94NW5,"Yes, evenly split is fair",68.917,Organization B,01HP1XZSSB5GMC46S75JD8M01D
01HP1Y5Q4G5E4Q90871HF94NW5,121 points for each of us.,69.837,Organization C,01HP1XZ38YXR8CFE6N5CXPT0AM
01HP1Y5Q4G5E4Q90871HF94NW5,"Is 121 for each of us, or 121 points split three ways?",91.876,Organization A,01HP1XZW42YSR4RYDP9DH525MC
01HP1Y5Q4G5E4Q90871HF94NW5,121 for each of us,116.913,Organization B,01HP1XZSSB5GMC46S75JD8M01D
01HP1Y5Q4G5E4Q90871HF94NW5,that's fine with me,129.893,Organization A,01HP1XZW42YSR4RYDP9DH525MC
01HP1Y5Q4G5E4Q90871HF94NW5,Are we sure it was 121 each?,168.848,Organization C,01HP1XZ38YXR8CFE6N5CXPT0AM
01HP1Y5Q4G5E4Q90871HF94NW5,"Never mind, it is split.",227.845,Organization C,01HP1XZ38YXR8CFE6N5CXPT0AM
01HP1Y5Q4G5E4Q90871HF94NW5,"We should still split the 121 points, as that would be the most fair.",278.859,Organization C,01HP1XZ38YXR8CFE6N5CXPT0AM
01HP1Y5Q4G5E4Q90871HF94NW5,Okay I agree,302.917,Organization B,01HP1XZSSB5GMC46S75JD8M01D
01HP1Y5Q4G5E4Q90871HF94NW5,121 can't be split exactly even,319.878,Organization A,01HP1XZW42YSR4RYDP9DH525MC
01HP1Y5Q4G5E4Q90871HF94NW5,"A, do you agree? It will be split as evenly as possible.",330.856,Organization C,01HP1XZ38YXR8CFE6N5CXPT0AM
01HP1Y5Q4G5E4Q90871HF94NW5,yes,338.878,Organization A,01HP1XZW42YSR4RYDP9DH525MC
01HP1Y5Q4G5E4Q90871HF94NW5,121 split it is!,345.855,Organization C,01HP1XZ38YXR8CFE6N5CXPT0AM
01HP1Y5Q4G5E4Q90871HF94NW5,Put 40 for each of us.,382.853,Organization C,01HP1XZ38YXR8CFE6N5CXPT0AM
01HP1Y5Q4G5E4Q90871HF94NW5,"We are each getting 40 points, as it is rounded down.",393.836,Organization C,01HP1XZ38YXR8CFE6N5CXPT0AM
01HP1Y5Q4G5E4Q90871HF94NW5,ok,396.878,Organization A,01HP1XZW42YSR4RYDP9DH525MC
01HP1Y5Q4G5E4Q90871HF94NW5,okay 40 each for the payoff,396.917,Organization B,01HP1XZSSB5GMC46S75JD8M01D
01HP1YAX7DJJDZARVPFVAT9ZJV,Hi,7.669,Organization A,01HP1XZZVV9413RAG5H563AHPJ
01HP1YAX7DJJDZARVPFVAT9ZJV,hi,7.971,Organization C,01HP1Y0P2GZ6KE6C93AJNPTA70
01HP1YAX7DJJDZARVPFVAT9ZJV,Hi,17.975,Organization B,01HP1Y1BHH6M46T77XS23ZFN3Q
01HP1YAX7DJJDZARVPFVAT9ZJV,"how about A, B, and C together get	121",50.743,Organization A,01HP1XZZVV9413RAG5H563AHPJ
01HP1YAX7DJJDZARVPFVAT9ZJV,sounds good,64.974,Organization C,01HP1Y0P2GZ6KE6C93AJNPTA70
01HP1YAX7DJJDZARVPFVAT9ZJV,"Yes, I agree",71.991,Organization B,01HP1Y1BHH6M46T77XS23ZFN3Q
01HP1YAX7DJJDZARVPFVAT9ZJV,how do we divide that up,88.676,Organization A,01HP1XZZVV9413RAG5H563AHPJ
01HP1YAX7DJJDZARVPFVAT9ZJV,well 121 divided by 3 is 40.3,118.974,Organization C,01HP1Y0P2GZ6KE6C93AJNPTA70
01HP1YAX7DJJDZARVPFVAT9ZJV,I can have 40,130.957,Organization B,01HP1Y1BHH6M46T77XS23ZFN3Q
01HP1YAX7DJJDZARVPFVAT9ZJV,but i'm not sure if we can use decimel points like that ha,138.973,Organization C,01HP1Y0P2GZ6KE6C93AJNPTA70
01HP1YAX7DJJDZARVPFVAT9ZJV,B has 40,151.674,Organization A,01HP1XZZVV9413RAG5H563AHPJ
01HP1YAX7DJJDZARVPFVAT9ZJV,"okay cool then one person will get 41, and another will get 40",155.974,Organization C,01HP1Y0P2GZ6KE6C93AJNPTA70
01HP1YAX7DJJDZARVPFVAT9ZJV,I'll take 40,163.666,Organization A,01HP1XZZVV9413RAG5H563AHPJ
01HP1YAX7DJJDZARVPFVAT9ZJV,Okay sounds good,168.977,Organization C,01HP1Y0P2GZ6KE6C93AJNPTA70
01HP1YAX7DJJDZARVPFVAT9ZJV,then c gets 41,175.665,Organization A,01HP1XZZVV9413RAG5H563AHPJ
01HP1YAX7DJJDZARVPFVAT9ZJV,thanks,177.989,Organization B,01HP1Y1BHH6M46T77XS23ZFN3Q
01HP1YAX7DJJDZARVPFVAT9ZJV,and were good,179.674,Organization A,01HP1XZZVV9413RAG5H563AHPJ
01HP1YAX7DJJDZARVPFVAT9ZJV,yes,181.972,Organization C,01HP1Y0P2GZ6KE6C93AJNPTA70
01HP1YAX7DJJDZARVPFVAT9ZJV,Ok Great done,190.665,Organization A,01HP1XZZVV9413RAG5H563AHPJ
01HP1YAX7DJJDZARVPFVAT9ZJV,Have a good day!,195.972,Organization B,01HP1Y1BHH6M46T77XS23ZFN3Q
01HP1YAX7DJJDZARVPFVAT9ZJV,you too!,198.98,Organization C,01HP1Y0P2GZ6KE6C93AJNPTA70
01HP1YAX7DJJDZARVPFVAT9ZJV,You to,200.673,Organization A,01HP1XZZVV9413RAG5H563AHPJ
01HP1YAX7DJJDZARVPFVAT9ZJV,I guess we still have to wait for the timer to be done,251.664,Organization A,01HP1XZZVV9413RAG5H563AHPJ
01HP1YAX7DJJDZARVPFVAT9ZJV,seems like it,256.973,Organization C,01HP1Y0P2GZ6KE6C93AJNPTA70
01HP1YAX7DJJDZARVPFVAT9ZJV,nevermind the button just showed up for me ha,269.964,Organization C,01HP1Y0P2GZ6KE6C93AJNPTA70
01HP1Y7T39FNNFR8FEV6E6D7CR,Hey yall,12.974,Organization A,01HP1Y2QHAACN68WX4N43DJVEB
01HP1Y7T39FNNFR8FEV6E6D7CR,Hello,19.45,Organization C,01HP1Y0MWA906TETZG7XWQFT16
01HP1Y7T39FNNFR8FEV6E6D7CR,Hello,24.573,Organization B,01HP1Y1CSTMQ6K2DBS81YRMJKY
01HP1Y7T39FNNFR8FEV6E6D7CR,Let's reach an agreement,44.449,Organization C,01HP1Y0MWA906TETZG7XWQFT16
01HP1Y7T39FNNFR8FEV6E6D7CR,Agreed,47.987,Organization A,01HP1Y2QHAACN68WX4N43DJVEB
01HP1Y7T39FNNFR8FEV6E6D7CR,"I mean, clearly it is best for me and A to belong to a group of A and B.",57.571,Organization B,01HP1Y1CSTMQ6K2DBS81YRMJKY
01HP1Y7T39FNNFR8FEV6E6D7CR,That is true,65.968,Organization A,01HP1Y2QHAACN68WX4N43DJVEB
01HP1Y7T39FNNFR8FEV6E6D7CR,"Yes, true.",72.465,Organization C,01HP1Y0MWA906TETZG7XWQFT16
01HP1Y7T39FNNFR8FEV6E6D7CR,but I think it wouldn't be fair to just cut C out,75.967,Organization A,01HP1Y2QHAACN68WX4N43DJVEB
01HP1Y7T39FNNFR8FEV6E6D7CR,"Right, that's why I don't really understand the purpose of this experiment lol",88.569,Organization B,01HP1Y1CSTMQ6K2DBS81YRMJKY
01HP1Y7T39FNNFR8FEV6E6D7CR,Obviously C wouldn't agree to that. Lol.,99.568,Organization B,01HP1Y1CSTMQ6K2DBS81YRMJKY
01HP1Y7T39FNNFR8FEV6E6D7CR,I guess I am to be cut out then,100.464,Organization C,01HP1Y0MWA906TETZG7XWQFT16
01HP1Y7T39FNNFR8FEV6E6D7CR,But I do not like that,107.464,Organization C,01HP1Y0MWA906TETZG7XWQFT16
01HP1Y7T39FNNFR8FEV6E6D7CR,Well I think the purpose is to see how people negotiate when the payoff matrixes are clearly biased one way,109.979,Organization A,01HP1Y2QHAACN68WX4N43DJVEB
01HP1Y7T39FNNFR8FEV6E6D7CR,"Yeah, that's true I guess.",122.569,Organization B,01HP1Y1CSTMQ6K2DBS81YRMJKY
01HP1Y7T39FNNFR8FEV6E6D7CR,"How about we go with A, B, and C together",146.446,Organization C,01HP1Y0MWA906TETZG7XWQFT16
01HP1Y7T39FNNFR8FEV6E6D7CR,?,147.447,Organization C,01HP1Y0MWA906TETZG7XWQFT16
01HP1Y7T39FNNFR8FEV6E6D7CR,So do we just want to do the A B and C option?,148.583,Organization B,01HP1Y1CSTMQ6K2DBS81YRMJKY
01HP1Y7T39FNNFR8FEV6E6D7CR,That works for me,155.565,Organization B,01HP1Y1CSTMQ6K2DBS81YRMJKY
01HP1Y7T39FNNFR8FEV6E6D7CR,I think we should do ABC together and then because I and B have a superior strategy of doing us together we could split up the ABC together points 40/40/20,157.956,Organization A,01HP1Y2QHAACN68WX4N43DJVEB
01HP1Y7T39FNNFR8FEV6E6D7CR,I agree to that,159.446,Organization C,01HP1Y0MWA906TETZG7XWQFT16
01HP1Y7T39FNNFR8FEV6E6D7CR,where b and I would get 48 and c gets 22,184.986,Organization A,01HP1Y2QHAACN68WX4N43DJVEB
01HP1Y7T39FNNFR8FEV6E6D7CR,Ohhh I didn't realize we got to choose how much each gets,198.563,Organization B,01HP1Y1CSTMQ6K2DBS81YRMJKY
01HP1Y7T39FNNFR8FEV6E6D7CR,Yeah I think the schedule of benefits gets split up once you decide what to do,219.981,Organization A,01HP1Y2QHAACN68WX4N43DJVEB
01HP1Y7T39FNNFR8FEV6E6D7CR,40 each with someone else getting the left over one?,223.444,Organization C,01HP1Y0MWA906TETZG7XWQFT16
01HP1Y7T39FNNFR8FEV6E6D7CR,which they weren't really clear about,225.964,Organization A,01HP1Y2QHAACN68WX4N43DJVEB
01HP1Y7T39FNNFR8FEV6E6D7CR,agreed!,230.562,Organization B,01HP1Y1CSTMQ6K2DBS81YRMJKY
01HP1Y7T39FNNFR8FEV6E6D7CR,C I meant 40%40%20%,239.962,Organization A,01HP1Y2QHAACN68WX4N43DJVEB
01HP1Y7T39FNNFR8FEV6E6D7CR,so B and I would get 48 and you would get 22,251.977,Organization A,01HP1Y2QHAACN68WX4N43DJVEB
01HP1Y7T39FNNFR8FEV6E6D7CR,"I think it would be 49, 49, 23",254.562,Organization B,01HP1Y1CSTMQ6K2DBS81YRMJKY
01HP1Y7T39FNNFR8FEV6E6D7CR,"I mean 49, 49, 22",262.576,Organization B,01HP1Y1CSTMQ6K2DBS81YRMJKY
01HP1Y7T39FNNFR8FEV6E6D7CR,"Wait no, 49, 49, 23. Lol",271.576,Organization B,01HP1Y1CSTMQ6K2DBS81YRMJKY
01HP1Y7T39FNNFR8FEV6E6D7CR,that equals 121,273.575,Organization B,01HP1Y1CSTMQ6K2DBS81YRMJKY
01HP1Y7T39FNNFR8FEV6E6D7CR,Lol all good,276.957,Organization A,01HP1Y2QHAACN68WX4N43DJVEB
01HP1Y7T39FNNFR8FEV6E6D7CR,49 + 49 + 23 is 121,285.442,Organization C,01HP1Y0MWA906TETZG7XWQFT16
01HP1Y7T39FNNFR8FEV6E6D7CR,"So we all agree 49, 49, 23?",287.576,Organization B,01HP1Y1CSTMQ6K2DBS81YRMJKY
01HP1Y7T39FNNFR8FEV6E6D7CR,That works,287.458,Organization C,01HP1Y0MWA906TETZG7XWQFT16
01HP1Y7T39FNNFR8FEV6E6D7CR,Agreed,290.972,Organization A,01HP1Y2QHAACN68WX4N43DJVEB
01HP1Y7T39FNNFR8FEV6E6D7CR,Agreed,298.458,Organization C,01HP1Y0MWA906TETZG7XWQFT16
01HP1Y7T39FNNFR8FEV6E6D7CR,did you guys get a submit early button?,329.984,Organization A,01HP1Y2QHAACN68WX4N43DJVEB
01HP1Y7T39FNNFR8FEV6E6D7CR,I see it now. I'm going to click it.,346.456,Organization C,01HP1Y0MWA906TETZG7XWQFT16
01HP1Y97BPHCB17H84CCDR5RC9,Hello,20.362,Organization C,01HP1XZZJ4SRJFRMWSYCFTQJCA
01HP1Y97BPHCB17H84CCDR5RC9,hello,24.169,Organization B,01HP1Y1VPEYFS2J7NRWWEN4ZGW
01HP1Y97BPHCB17H84CCDR5RC9,Hi there,23.909,Organization A,01HP1Y16VVS1V7QYHY8DWAWF4M
01HP1Y97BPHCB17H84CCDR5RC9,so Do we split 3 ways,34.183,Organization B,01HP1Y1VPEYFS2J7NRWWEN4ZGW
01HP1Y97BPHCB17H84CCDR5RC9,I think that splitting three ways is the best decision.,43.362,Organization C,01HP1XZZJ4SRJFRMWSYCFTQJCA
01HP1Y97BPHCB17H84CCDR5RC9,Seems to make sense. A good way to start!,49.921,Organization A,01HP1Y16VVS1V7QYHY8DWAWF4M
01HP1Y97BPHCB17H84CCDR5RC9,or A and B can split,51.164,Organization B,01HP1Y1VPEYFS2J7NRWWEN4ZGW
01HP1Y97BPHCB17H84CCDR5RC9,ok 3 ways,56.178,Organization B,01HP1Y1VPEYFS2J7NRWWEN4ZGW
01HP1Y97BPHCB17H84CCDR5RC9,"Yes, let's do 3 ways.",68.368,Organization C,01HP1XZZJ4SRJFRMWSYCFTQJCA
01HP1Y97BPHCB17H84CCDR5RC9,So what is the total that we'll be splitting?,80.907,Organization A,01HP1Y16VVS1V7QYHY8DWAWF4M
01HP1Y97BPHCB17H84CCDR5RC9,121/3,102.184,Organization B,01HP1Y1VPEYFS2J7NRWWEN4ZGW
01HP1Y97BPHCB17H84CCDR5RC9,"Yes, 121 between all 3 groups.",111.359,Organization C,01HP1XZZJ4SRJFRMWSYCFTQJCA
01HP1Y97BPHCB17H84CCDR5RC9,Got it. Sounds equitable to me.,111.913,Organization A,01HP1Y16VVS1V7QYHY8DWAWF4M
01HP1Y97BPHCB17H84CCDR5RC9,40.333333 points per organization?,128.915,Organization A,01HP1Y16VVS1V7QYHY8DWAWF4M
01HP1Y97BPHCB17H84CCDR5RC9,Yes that's correct. Apparently it should be rounded for us automatically.,146.359,Organization C,01HP1XZZJ4SRJFRMWSYCFTQJCA
01HP1Y97BPHCB17H84CCDR5RC9,two players can take 39 and one take 40 I think,163.185,Organization B,01HP1Y1VPEYFS2J7NRWWEN4ZGW
01HP1Y97BPHCB17H84CCDR5RC9,Yeah I think that's what was listed in the instructions.,192.358,Organization C,01HP1XZZJ4SRJFRMWSYCFTQJCA
01HP1Y97BPHCB17H84CCDR5RC9,how about A. 40 B. 39 and C.39,197.178,Organization B,01HP1Y1VPEYFS2J7NRWWEN4ZGW
01HP1Y97BPHCB17H84CCDR5RC9,"To streamline things, Organization A can take 39",201.91,Organization A,01HP1Y16VVS1V7QYHY8DWAWF4M
01HP1Y97BPHCB17H84CCDR5RC9,Or...your suggestion works great,211.911,Organization A,01HP1Y16VVS1V7QYHY8DWAWF4M
01HP1Y97BPHCB17H84CCDR5RC9,ok then A 40 . B 39 C. 39,227.203,Organization B,01HP1Y1VPEYFS2J7NRWWEN4ZGW
01HP1Y97BPHCB17H84CCDR5RC9,I am also okay taking 39.,231.351,Organization C,01HP1XZZJ4SRJFRMWSYCFTQJCA
01HP1Y97BPHCB17H84CCDR5RC9,If you all prefer 40,235.35,Organization C,01HP1XZZJ4SRJFRMWSYCFTQJCA
01HP1Y97BPHCB17H84CCDR5RC9,two players need 39 lets just go with A 40 B 39 c39,259.179,Organization B,01HP1Y1VPEYFS2J7NRWWEN4ZGW
01HP1Y97BPHCB17H84CCDR5RC9,Sounds good to me,262.909,Organization A,01HP1Y16VVS1V7QYHY8DWAWF4M
01HP1Y97BPHCB17H84CCDR5RC9,Im submitting,284.19,Organization B,01HP1Y1VPEYFS2J7NRWWEN4ZGW
01HP1Y97BPHCB17H84CCDR5RC9,Let me know if you're filling out your deal sheet with the above. If so...I'll submit mine,291.912,Organization A,01HP1Y16VVS1V7QYHY8DWAWF4M
01HP1Y6D73DF53A88HX2J1BJK9,Hello everyone,10.542,Organization A,01HP1XZX2XCSDKWAJEMV89ZQEX
01HP1Y6D73DF53A88HX2J1BJK9,Hi.,16.565,Organization C,01HP1Y08DBXCKSAN739DEV5NC0
01HP1Y6D73DF53A88HX2J1BJK9,Hello,18.986,Organization B,01HP1XZQ7FXWF6XRCT0TFJXARF
01HP1Y6D73DF53A88HX2J1BJK9,"I think we should all work together, as that should be the way to maximize each of our benefits.  Any counters?",43.541,Organization A,01HP1XZX2XCSDKWAJEMV89ZQEX
01HP1Y6D73DF53A88HX2J1BJK9,Not here,66.99,Organization B,01HP1XZQ7FXWF6XRCT0TFJXARF
01HP1Y6D73DF53A88HX2J1BJK9,"Im fine with that, I just want to get this done in a timely manner even if it's not perfect.",70.565,Organization C,01HP1Y08DBXCKSAN739DEV5NC0
01HP1Y6D73DF53A88HX2J1BJK9,"Okay, great!",77.542,Organization A,01HP1XZX2XCSDKWAJEMV89ZQEX
01HP1Y6D73DF53A88HX2J1BJK9,"I'm not sure, but I think we need to fill in the deal sheet on the side to get the button to end negotiation early.",149.552,Organization A,01HP1XZX2XCSDKWAJEMV89ZQEX
01HP1Y6D73DF53A88HX2J1BJK9,Do we all get the same payoff?,202.566,Organization C,01HP1Y08DBXCKSAN739DEV5NC0
01HP1Y6D73DF53A88HX2J1BJK9,"Yes, at least according to my info.  If you scroll allt he way to the bottom, there's a ""Schedule of Benefits"".",223.549,Organization A,01HP1XZX2XCSDKWAJEMV89ZQEX
01HP1Y6D73DF53A88HX2J1BJK9,So 121 for each?,244.583,Organization C,01HP1Y08DBXCKSAN739DEV5NC0
01HP1Y6D73DF53A88HX2J1BJK9,"I hope so.  The way it's written sounds like we'd split it up, but from the instructions I believe it's for each.",285.547,Organization A,01HP1XZX2XCSDKWAJEMV89ZQEX
01HP1Y6D73DF53A88HX2J1BJK9,Seems like it's splitting the total,299.975,Organization B,01HP1XZQ7FXWF6XRCT0TFJXARF
01HP1Y6D73DF53A88HX2J1BJK9,"Yeah, that might be the case, and that would make more sense for why it would be a dilemma.",320.562,Organization A,01HP1XZX2XCSDKWAJEMV89ZQEX
01HP1Y6D73DF53A88HX2J1BJK9,"So, 40 40 41?",354.567,Organization C,01HP1Y08DBXCKSAN739DEV5NC0
01HP1Y6D73DF53A88HX2J1BJK9,"Heh, yeah, it's not an even split so I'm not sure who gets the extra 1",377.543,Organization A,01HP1XZX2XCSDKWAJEMV89ZQEX
01HP1Y6D73DF53A88HX2J1BJK9,Perhaps it's more of a issue in other groups.,399.568,Organization C,01HP1Y08DBXCKSAN739DEV5NC0
01HP1Y6D73DF53A88HX2J1BJK9,I will take the one if no one minds,407.584,Organization C,01HP1Y08DBXCKSAN739DEV5NC0
01HP1Y6D73DF53A88HX2J1BJK9,"Oh, I suppose that's what we're supposed to figure out and negotiate with who gets what amount",413.525,Organization A,01HP1XZX2XCSDKWAJEMV89ZQEX
01HP1Y6D73DF53A88HX2J1BJK9,"So in that case, if me and B were to work together and exclude C, we'd each get 59",448.542,Organization A,01HP1XZX2XCSDKWAJEMV89ZQEX
01HP1Y6D73DF53A88HX2J1BJK9,Oh I get it.,463.568,Organization C,01HP1Y08DBXCKSAN739DEV5NC0
01HP1Y6D73DF53A88HX2J1BJK9,You could exclude me to earn more.,481.568,Organization C,01HP1Y08DBXCKSAN739DEV5NC0
01HP1Y6D73DF53A88HX2J1BJK9,"We could, and this is the only interaction we have, but I'd feel bad if we were to do that",498.555,Organization A,01HP1XZX2XCSDKWAJEMV89ZQEX
01HP1Y6D73DF53A88HX2J1BJK9,You would also have to do it directly in front of me in the chat,518.569,Organization C,01HP1Y08DBXCKSAN739DEV5NC0
01HP1Y6D73DF53A88HX2J1BJK9,"Ha, true!",523.554,Organization A,01HP1XZX2XCSDKWAJEMV89ZQEX
01HP1Y6D73DF53A88HX2J1BJK9,We could all three agree to work together and then C could get a smaller amount so that way at least everyone gets something,553.536,Organization A,01HP1XZX2XCSDKWAJEMV89ZQEX
01HP1Y6D73DF53A88HX2J1BJK9,Something like 45 - 45 - 21?,594.536,Organization A,01HP1XZX2XCSDKWAJEMV89ZQEX
01HP1YCYFXD540EJ343NXAKC45,hey,12.518,Organization B,01HP1Y5HKMJPZE0R513VARWEP9
01HP1YCYFXD540EJ343NXAKC45,Howdy,21.181,Organization C,01HP1Y223VJW9224SZ2X8BQGWC
01HP1YCYFXD540EJ343NXAKC45,hey,23.228,Organization A,01HP1Y0PSBS0TKJH2MWQV42ZYQ
01HP1YCYFXD540EJ343NXAKC45,do we agree on the 121?,37.229,Organization A,01HP1Y0PSBS0TKJH2MWQV42ZYQ
01HP1YCYFXD540EJ343NXAKC45,what are we all thinking here,39.514,Organization B,01HP1Y5HKMJPZE0R513VARWEP9
01HP1YCYFXD540EJ343NXAKC45,"121 is preferred, yes",51.188,Organization C,01HP1Y223VJW9224SZ2X8BQGWC
01HP1YCYFXD540EJ343NXAKC45,Everyone gets a chance at that bonus,58.182,Organization C,01HP1Y223VJW9224SZ2X8BQGWC
01HP1YCYFXD540EJ343NXAKC45,sweet,58.229,Organization A,01HP1Y0PSBS0TKJH2MWQV42ZYQ
01HP1YCYFXD540EJ343NXAKC45,So for the payoff do we just do a 1/3 of the total for each participant?,84.181,Organization C,01HP1Y223VJW9224SZ2X8BQGWC
01HP1YCYFXD540EJ343NXAKC45,"So, 40.33 points each?",98.241,Organization C,01HP1Y223VJW9224SZ2X8BQGWC
01HP1YCYFXD540EJ343NXAKC45,"To get 121 points, all three of you must agree to a deal. However, you can also choose to have a deal involving just two parties and earn fewer points (as specified in the Schedule of Benefits).",102.505,Organization B,01HP1Y5HKMJPZE0R513VARWEP9
